Index:PostionX:PostionZ:RotationAngle:PhotonTime
1:0:0:0:2343541,1
2:0:0:0:2343541,1
3:0:0:0:2343541,117
4:0:0:0:2343541,134
5:0:0:0:2343541,168
6:0:0:0:2343541,184
7:0:0:0:2343541,201
8:0:0:0:2343541,218
9:0:0:0:2343541,235
10:0:0:0:2343541,252
11:0:0:0:2343541,286
12:0:0:0:2343541,303
13:0:0:0:2343541,32
14:0:0:0:2343541,337
15:0:0:0:2343541,354
16:0:0:0:2343541,387
17:0:0:0:2343541,404
18:0:0:0:2343541,421
19:0:0:0:2343541,437
20:0:0:0:2343541,454
21:0:0:0:2343541,487
22:0:0:0:2343541,504
23:0:0:0:2343541,522
24:0:0:0:2343541,538
25:0:0:0:2343541,554
26:0:0:0:2343541,588
27:0:0:0:2343541,605
28:0:0:0:2343541,621
29:0:0:0:2343541,638
30:0:0:0:2343541,655
31:0:0:0:2343541,672
32:0:0:0:2343541,705
33:0:0:0:2343541,722
34:0:0:0:2343541,739
35:0:0:0:2343541,755
36:0:0:0:2343541,772
37:0:0:0:2343541,806
38:0:0:0:2343541,823
39:0:0:0:2343541,84
40:0:0:0:2343541,857
41:0:0:0:2343541,873
42:0:0:0:2343541,907
43:0:0:0:2343541,924
44:0:0:0:2343541,94
45:0:0:0:2343541,957
46:0:0:0:2343541,974
47:0:0:0:2343542,007
48:0:0:0:2343542,024
49:0:0:0:2343542,041
50:0:0:0:2343542,057
51:0:0:0:2343542,074
52:0:0:0:2343542,108
53:0:0:0:2343542,124
54:0:0:0:2343542,141
55:0:0:0:2343542,158
56:0:0:0:2343542,174
57:0:0:0:2343542,208
58:0:0:0:2343542,225
59:0:0:0:2343542,241
60:0:0:0:2343542,258
61:0:0:0:2343542,274
62:0:0:0:2343542,292
63:0:0:0:2343542,325
64:0:0:0:2343542,342
65:0:0:0:2343542,359
66:0:0:0:2343542,375
67:0:0:0:2343542,392
68:0:0:0:2343542,425
69:0:0:0:2343542,442
70:0:0:0:2343542,459
71:0:0:0:2343542,476
72:0:0:0:2343542,492
73:0:0:0:2343542,53
138:0:2,52:0:2343543,819
139:0:2,67:0:2343543,836
140:0:2,67:0:2343543,852
141:0:2,82:0:2343543,886
142:0:2,82:0:2343543,903
143:0:2,970001:0:2343543,919
144:0:2,970001:0:2343543,936
145:0:3,120001:0:2343543,953
146:0:3,120001:0:2343543,987
147:0:3,270001:0:2343544,004
148:0:3,270001:0:2343544,021
149:0:3,420001:0:2343544,038
150:0:3,420001:0:2343544,054
151:0:3,570001:0:2343544,088
152:0:3,570001:0:2343544,106
153:0:3,720001:0:2343544,123
154:0:3,720001:0:2343544,139
155:0:3,870001:0:2343544,156
156:0:3,870001:0:2343544,173
157:0:4,020001:0:2343544,206
158:0:4,020001:0:2343544,223
159:0:4,170001:0:2343544,24
160:0:4,170001:0:2343544,257
161:0:4,320001:0:2343544,273
162:0:4,320001:0:2343544,307
163:0:4,470001:0:2343544,326
164:0:4,470001:0:2343544,34
165:0:4,620001:0:2343544,357
166:0:4,620001:0:2343544,374
167:0:4,770001:0:2343544,407
168:0:4,770001:0:2343544,424
169:0:4,920002:0:2343544,44
170:0:4,920002:0:2343544,457
171:0:5,070002:0:2343544,474
172:0:5,070002:0:2343544,508
173:0:5,220002:0:2343544,525
174:0:5,220002:0:2343544,541
175:0:5,370002:0:2343544,558
176:0:5,370002:0:2343544,575
177:0:5,520002:0:2343544,592
178:0:5,520002:0:2343544,626
179:0:5,670002:0:2343544,643
180:0:5,670002:0:2343544,66
181:0:5,820002:0:2343544,677
182:0:5,820002:0:2343544,694
183:0:6:0:2343544,728
184:0:6:0:2343544,745
185:0:6:0:2343544,762
186:0:6:0:2343544,778
187:0:6:0:2343544,795
188:0:6:0:2343544,812
189:0:6:0:2343544,845
190:0:6:0:2343544,862
191:0:6:0:2343544,879
192:0:6:0:2343544,896
193:0:6:0:2343544,912
194:0:6:0:2343544,946
195:0:6:0:2343544,963
196:0:6:0:2343544,98
197:0:6:0:2343544,997
198:0:6:0:2343545,014
199:0:6:0:2343545,047
200:0:6:0:2343545,064
201:0:6:0:2343545,081
202:0:6:0:2343545,098
203:0:6:0:2343545,115
204:0:6:0:2343545,132
205:0:6:0:2343545,166
206:0:6:0:2343545,183
207:0:6:0:2343545,2
208:0:6:0:2343545,216
209:0:6:0:2343545,233
210:0:6:0:2343545,267
211:0:6:0:2343545,283
212:0:6:0:2343545,3
213:0:6:0:2343545,317
214:0:6:0:2343545,334
215:0:6:0:2343545,367
216:0:6:0:2343545,384
217:0:6:0:2343545,401
218:0:6:0:2343545,418
219:0:6:0:2343545,434
220:0:6:0:2343545,468
221:0:6:0:2343545,484
222:0:6:0:2343545,501
223:0:6:0:2343545,518
224:0:6:0:2343545,535
225:0:6:0:2343545,575
226:0:6,15:0:2343545,585
227:0:6,15:0:2343545,601
228:0:6,3:0:2343545,618
229:0:6,3:0:2343545,635
230:0:6,45:0:2343545,652
231:0:6,45:0:2343545,686
232:0:6,6:0:2343545,703
233:0:6,6:0:2343545,719
234:0:6,75:0:2343545,736
235:0:6,75:0:2343545,753
236:0:6,900001:0:2343545,786
237:0:6,900001:0:2343545,803
238:0:7,050001:0:2343545,82
239:0:7,050001:0:2343545,837
240:0:7,200001:0:2343545,853
241:0:7,200001:0:2343545,887
242:0:7,350001:0:2343545,903
243:0:7,350001:0:2343545,92
244:0:7,500001:0:2343545,937
245:0:7,500001:0:2343545,954
246:0:7,650001:0:2343545,988
247:0:7,650001:0:2343546,004
248:0:7,800001:0:2343546,021
249:0:7,800001:0:2343546,038
250:0:7,950001:0:2343546,055
251:0:7,950001:0:2343546,072
252:0:8,100001:0:2343546,105
253:0:8,100001:0:2343546,122
254:0:8,250001:0:2343546,139
255:0:8,250001:0:2343546,159
256:0:8,400001:0:2343546,173
257:0:8,400001:0:2343546,207
258:0:8,55:0:2343546,224
259:0:8,55:0:2343546,24
260:0:8,7:0:2343546,257
261:0:8,7:0:2343546,274
262:0:8,849999:0:2343546,308
263:0:8,849999:0:2343546,325
264:0:8,999999:0:2343546,342
265:0:8,999999:0:2343546,359
266:0:9,149999:0:2343546,376
267:0:9,149999:0:2343546,393
268:0:9,299998:0:2343546,426
269:0:9,299998:0:2343546,443
270:0:9,449998:0:2343546,46
271:0:9,449998:0:2343546,476
272:0:9,599998:0:2343546,493
273:0:9,599998:0:2343546,526
274:0:9,749997:0:2343546,543
275:0:9,749997:0:2343546,56
276:0:9,899997:0:2343546,576
277:0:9,899997:0:2343546,593
278:0:10,05:0:2343546,626
279:0:10,05:0:2343546,643
280:0:10,2:0:2343546,66
281:0:10,2:0:2343546,676
282:0:10,35:0:2343546,693
283:0:10,35:0:2343546,727
284:0:10,64:0:2343546,743
285:0:10,64:0:2343546,76
286:0:10,64:0:2343546,777
287:0:10,64:0:2343546,794
288:0:10,64:0:2343546,828
289:0:10,64:0:2343546,845
290:0:10,64:0:2343546,862
291:0:10,64:0:2343546,878
292:0:10,64:0:2343546,895
293:0:10,64:0:2343546,929
294:0:10,64:0:2343546,945
295:0:10,64:0:2343546,962
296:0:10,64:0:2343546,979
297:0:10,64:0:2343546,996
298:0:10,64:0:2343547,012
299:0:10,64:0:2343547,046
300:0:10,64:0:2343547,063
301:0:10,64:0:2343547,079
302:0:10,64:0:2343547,097
303:0:10,64:0:2343547,113
304:0:10,64:0:2343547,147
305:0:10,64:0:2343547,166
306:-0,09111749:10,75915:270:2343547,18
307:-0,09111749:10,75915:270:2343547,198
308:-0,182235:10,87831:270:2343547,214
309:-0,182235:10,87831:270:2343547,248
310:-0,2733525:10,99746:270:2343547,264
311:-0,2733525:10,99746:270:2343547,281
312:-0,3644701:11,11662:270:2343547,298
313:-0,3644701:11,11662:270:2343547,315
314:-0,4555876:11,23577:270:2343547,348
315:-0,4555876:11,23577:270:2343547,365
316:-0,5467052:11,35492:270:2343547,382
317:-0,5467052:11,35492:270:2343547,398
318:-0,6378228:11,47408:270:2343547,415
319:-0,6378228:11,47408:270:2343547,432
320:-0,7289405:11,59323:270:2343547,465
321:-0,7289405:11,59323:270:2343547,482
322:-0,8200582:11,71239:270:2343547,499
323:-0,8200582:11,71239:270:2343547,516
324:-0,911176:11,83154:270:2343547,533
325:-0,911176:11,83154:270:2343547,567
326:-1,04:12:270:2343547,584
327:-1,04:12:270:2343547,6
328:-1,04:12:270:2343547,617
329:-1,04:12:270:2343547,634
330:-1,04:12:270:2343547,667
331:-1,04:12:270:2343547,684
332:-1,04:12:270:2343547,701
333:-1,04:12:270:2343547,717
334:-1,04:12:270:2343547,734
335:-1,04:12:270:2343547,768
336:-1,04:12:270:2343547,785
337:-1,04:12:270:2343547,803
338:-1,04:12:270:2343547,819
339:-1,04:12:270:2343547,836
340:-1,04:12:270:2343547,853
341:-1,04:12:270:2343547,887
342:-1,04:12:270:2343547,904
343:-1,04:12:270:2343547,921
344:-1,04:12:270:2343547,938
345:-1,04:12:270:2343547,955
346:-1,04:12:270:2343547,972
347:-1,04:12:270:2343548,006
348:-1,04:12:270:2343548,022
349:-1,04:12:270:2343548,039
350:-1,04:12:270:2343548,056
351:-1,04:12:270:2343548,073
352:-1,04:12:270:2343548,107
353:-1,04:12:270:2343548,124
354:-1,04:12:270:2343548,141
355:-1,04:12:270:2343548,158
356:-1,04:12:270:2343548,175
357:-1,04:12:270:2343548,208
358:-1,04:12:270:2343548,225
359:-1,04:12:270:2343548,241
360:-1,04:12:270:2343548,258
361:-1,04:12:270:2343548,275
362:-1,04:12:270:2343548,292
363:-1,04:12:270:2343548,326
364:-1,04:12:270:2343548,343
365:-1,04:12:270:2343548,36
366:-1,04:12:270:2343548,377
367:-1,04:12:270:2343548,394
368:-1,04:12:270:2343548,427
369:-1,04:12:270:2343548,444
370:-1,04:12:270:2343548,461
371:-1,04:12:270:2343548,477
372:-1,04:12:270:2343548,494
373:-1,04:12:270:2343548,528
374:-1,04:12:270:2343548,545
375:-1,04:12:270:2343548,562
376:-1,04:12:270:2343548,579
377:-1,04:12:270:2343548,596
378:-1,04:12:270:2343548,616
379:-1,04:12:270:2343548,646
380:-1,04:12:270:2343548,663
381:-1,04:12:270:2343548,68
382:-1,04:12:270:2343548,696
383:-1,04:12:270:2343548,713
384:-1,04:12:270:2343548,747
385:-1,04:12:270:2343548,763
386:-1,04:12:270:2343548,78
387:-1,04:12:270:2343548,797
388:-1,04:12:270:2343548,814
389:-1,04:12:270:2343548,847
390:-1,04:12:270:2343548,864
391:-1,04:12:270:2343548,88
392:-1,04:12:270:2343548,897
393:-1,04:12:270:2343548,914
394:-1,04:12:270:2343548,947
395:-1,04:12:270:2343548,964
396:-1,04:12:270:2343548,981
397:-1,04:12:270:2343548,997
398:-1,04:12:270:2343549,014
399:-1,04:12:270:2343549,047
400:-1,04:12:270:2343549,064
401:-1,04:12:270:2343549,081
402:-1,04:12:270:2343549,098
403:-1,04:12:270:2343549,114
404:-1,04:12:270:2343549,148
405:-1,04:12:270:2343549,165
406:-1,04:12:270:2343549,182
407:-1,04:12:270:2343549,199
408:-1,04:12:270:2343549,216
409:-1,04:12:270:2343549,233
410:-1,04:12:270:2343549,267
411:-1,04:12:270:2343549,284
412:-1,04:12:270:2343549,301
413:-1,04:12:270:2343549,318
414:-1,04:12:270:2343549,334
415:-1,04:12:270:2343549,368
416:-1,04:12:270:2343549,385
417:-1,04:12:270:2343549,401
418:-1,04:12:270:2343549,418
419:-1,04:12:270:2343549,451
420:-0,9660629:12,13051:135:2343549,457
421:-0,9660629:12,13051:135:2343549,474
422:-0,8921257:12,26102:135:2343549,507
423:-0,8921257:12,26102:135:2343549,524
424:-0,8181885:12,39153:135:2343549,541
425:-0,8181885:12,39153:135:2343549,557
426:-0,7442514:12,52205:135:2343549,574
427:-0,7442514:12,52205:135:2343549,607
428:-0,6703142:12,65256:135:2343549,624
429:-0,6703142:12,65256:135:2343549,641
430:-0,596377:12,78307:135:2343549,657
431:-0,596377:12,78307:135:2343549,677
432:-0,5224398:12,91358:135:2343549,708
433:-0,5224398:12,91358:135:2343549,725
434:-0,4485027:13,04409:135:2343549,742
435:-0,4485027:13,04409:135:2343549,759
436:-0,3745655:13,1746:135:2343549,775
437:-0,3745655:13,1746:135:2343549,792
438:-0,3006283:13,30511:135:2343549,825
439:-0,3006283:13,30511:135:2343549,842
440:-0,2266911:13,43562:135:2343549,859
441:-0,2266911:13,43562:135:2343549,876
442:-0,1527539:13,56614:135:2343549,892
443:-0,1527539:13,56614:135:2343549,926
444:-0,07881679:13,69665:135:2343549,943
445:-0,07881679:13,69665:135:2343549,959
446:-0,004879616:13,82716:135:2343549,976
447:-0,004879616:13,82716:135:2343549,993
448:0,06905755:13,95767:135:2343550,026
449:0,06905755:13,95767:135:2343550,043
450:0,1429947:14,08818:135:2343550,06
451:0,1429947:14,08818:135:2343550,079
452:0,2169318:14,21869:135:2343550,094
453:0,2169318:14,21869:135:2343550,127
454:0,290869:14,3492:135:2343550,144
455:0,290869:14,3492:135:2343550,161
456:0,3648061:14,47971:135:2343550,178
457:0,3648061:14,47971:135:2343550,195
458:0,4387433:14,61023:135:2343550,212
459:0,4387433:14,61023:135:2343550,245
460:0,5126804:14,74074:135:2343550,262
461:0,5126804:14,74074:135:2343550,279
462:0,5866175:14,87125:135:2343550,296
463:0,5866175:14,87125:135:2343550,312
464:0,6605546:15,00176:135:2343550,346
465:0,6605546:15,00176:135:2343550,362
466:0,7344918:15,13227:135:2343550,379
467:0,7344918:15,13227:135:2343550,396
468:0,8084289:15,26278:135:2343550,413
469:0,8084289:15,26278:135:2343550,446
470:0,882366:15,39329:135:2343550,463
471:0,882366:15,39329:135:2343550,48
472:0,9563031:15,5238:135:2343550,497
473:0,9563031:15,5238:135:2343550,514
474:1,03024:15,65432:135:2343550,548
475:1,03024:15,65432:135:2343550,565
476:1,104177:15,78483:135:2343550,582
477:1,104177:15,78483:135:2343550,599
478:1,178114:15,91534:135:2343550,616
479:1,178114:15,91534:135:2343550,633
480:1,252051:16,04585:135:2343550,666
481:1,252051:16,04585:135:2343550,683
482:1,325988:16,17636:135:2343550,7
483:1,325988:16,17636:135:2343550,717
484:1,399925:16,30688:135:2343550,733
485:1,399925:16,30688:135:2343550,767
486:1,473863:16,43739:135:2343550,783
487:1,473863:16,43739:135:2343550,8
488:1,5478:16,5679:135:2343550,817
489:1,5478:16,5679:135:2343550,833
490:1,621737:16,69841:135:2343550,867
491:1,621737:16,69841:135:2343550,883
492:1,695674:16,82892:135:2343550,9
493:1,695674:16,82892:135:2343550,917
494:1,769611:16,95944:135:2343550,934
495:1,769611:16,95944:135:2343550,968
496:1,843548:17,08995:135:2343550,985
497:1,843548:17,08995:135:2343551,002
498:1,917485:17,22046:135:2343551,019
499:1,917485:17,22046:135:2343551,036
500:1,991423:17,35097:135:2343551,053
501:1,991423:17,35097:135:2343551,091
502:2,134461:17,30581:135:2343551,107
503:2,134461:17,30581:135:2343551,121
504:2,277499:17,26064:135:2343551,138
505:2,277499:17,26064:135:2343551,155
506:2,420537:17,21547:135:2343551,172
507:2,420537:17,21547:135:2343551,205
508:2,563575:17,1703:135:2343551,222
509:2,563575:17,1703:135:2343551,239
510:2,706613:17,12513:135:2343551,256
511:2,706613:17,12513:135:2343551,273
512:2,849651:17,07997:135:2343551,306
513:2,849651:17,07997:135:2343551,323
514:2,992689:17,0348:135:2343551,34
515:2,992689:17,0348:135:2343551,357
516:3,135727:16,98963:135:2343551,374
517:3,135727:16,98963:135:2343551,408
518:3,278765:16,94446:135:2343551,425
519:3,278765:16,94446:135:2343551,442
520:3,421803:16,89929:135:2343551,459
521:3,421803:16,89929:135:2343551,476
522:3,564841:16,85413:135:2343551,493
523:3,564841:16,85413:135:2343551,527
524:3,70788:16,80896:135:2343551,544
525:3,70788:16,80896:135:2343551,56
526:3,850918:16,76379:135:2343551,577
527:3,850918:16,76379:135:2343551,594
528:3,993956:16,71862:135:2343551,628
529:3,993956:16,71862:135:2343551,645
530:4,136994:16,67345:135:2343551,662
531:4,136994:16,67345:135:2343551,679
532:4,280033:16,62829:135:2343551,696
533:4,280033:16,62829:135:2343551,713
534:4,423071:16,58312:135:2343551,747
535:4,423071:16,58312:135:2343551,764
536:4,566109:16,53795:135:2343551,78
537:4,566109:16,53795:135:2343551,797
538:4,709147:16,49279:135:2343551,814
539:4,709147:16,49279:135:2343551,848
540:4,852186:16,44762:135:2343551,864
541:4,852186:16,44762:135:2343551,881
542:4,995224:16,40245:135:2343551,898
543:4,995224:16,40245:135:2343551,915
544:5,138262:16,35728:135:2343551,932
545:5,138262:16,35728:135:2343551,965
546:5,374011:16,28284:135:2343551,982
547:5,374011:16,28284:135:2343551,999
548:5,374011:16,28284:135:2343552,015
549:5,374011:16,28284:135:2343552,032
550:5,374011:16,28284:135:2343552,065
551:5,374011:16,28284:135:2343552,082
552:5,374011:16,28284:135:2343552,099
553:5,374011:16,28284:135:2343552,116
554:5,374011:16,28284:135:2343552,133
555:5,374011:16,28284:135:2343552,17
556:5,374011:16,28284:135:2343552,184
557:5,374011:16,28284:135:2343552,201
558:5,374011:16,28284:135:2343552,217
559:5,374011:16,28284:135:2343552,234
560:5,374011:16,28284:135:2343552,268
561:5,374011:16,28284:135:2343552,284
562:5,374011:16,28284:135:2343552,301
563:5,374011:16,28284:135:2343552,318
564:5,374011:16,28284:135:2343552,335
565:5,374011:16,28284:135:2343552,368
566:5,374011:16,28284:135:2343552,385
567:5,374011:16,28284:135:2343552,402
568:5,374011:16,28284:135:2343552,419
569:5,374011:16,28284:135:2343552,436
570:5,374011:16,28284:135:2343552,453
571:5,374011:16,28284:135:2343552,487
572:5,374011:16,28284:135:2343552,503
573:5,374011:16,28284:135:2343552,52
574:5,374011:16,28284:135:2343552,537
575:5,374011:16,28284:135:2343552,553
576:5,374011:16,28284:135:2343552,587
577:5,374011:16,28284:135:2343552,603
578:5,374011:16,28284:135:2343552,62
579:5,374011:16,28284:135:2343552,637
580:5,374011:16,28284:135:2343552,654
581:5,374011:16,28284:135:2343552,688
582:5,374011:16,28284:135:2343552,705
583:5,374011:16,28284:135:2343552,722
584:5,374011:16,28284:135:2343552,739
585:5,374011:16,28284:135:2343552,756
586:5,374011:16,28284:135:2343552,773
587:5,374011:16,28284:135:2343552,807
588:5,374011:16,28284:135:2343552,823
589:5,374011:16,28284:135:2343552,84
590:5,374011:16,28284:135:2343552,857
591:5,374011:16,28284:135:2343552,874
592:5,374011:16,28284:135:2343552,908
593:5,374011:16,28284:135:2343552,925
594:5,374011:16,28284:135:2343552,942
595:5,374011:16,28284:135:2343552,959
596:5,374011:16,28284:135:2343552,975
597:5,374011:16,28284:135:2343553,002
598:5,224318:16,27325:90:2343553,026
599:5,224318:16,27325:90:2343553,042
600:5,074625:16,26366:90:2343553,059
601:5,074625:16,26366:90:2343553,076
602:4,924932:16,25407:90:2343553,092
603:4,924932:16,25407:90:2343553,126
604:4,775239:16,24447:90:2343553,143
605:4,775239:16,24447:90:2343553,159
606:4,625546:16,23488:90:2343553,176
607:4,625546:16,23488:90:2343553,193
608:4,475853:16,22529:90:2343553,227
609:4,475853:16,22529:90:2343553,244
610:4,32616:16,2157:90:2343553,261
611:4,32616:16,2157:90:2343553,277
612:4,176467:16,20611:90:2343553,294
613:4,176467:16,20611:90:2343553,328
614:4,026774:16,19651:90:2343553,345
615:4,026774:16,19651:90:2343553,362
616:3,877081:16,18692:90:2343553,378
617:3,877081:16,18692:90:2343553,395
618:3,727388:16,17733:90:2343553,412
619:3,727388:16,17733:90:2343553,445
620:3,577695:16,16774:90:2343553,462
621:3,577695:16,16774:90:2343553,479
622:3,428002:16,15815:90:2343553,496
623:3,428002:16,15815:90:2343553,514
624:3,278309:16,14855:90:2343553,548
625:3,278309:16,14855:90:2343553,565
626:3,128616:16,13896:90:2343553,582
627:3,128616:16,13896:90:2343553,599
628:2,978923:16,12937:90:2343553,615
629:2,978923:16,12937:90:2343553,632
630:2,82923:16,11978:90:2343553,665
631:2,82923:16,11978:90:2343553,682
632:2,679537:16,11019:90:2343553,699
633:2,679537:16,11019:90:2343553,716
634:2,529844:16,10059:90:2343553,733
635:2,529844:16,10059:90:2343553,767
636:2,380151:16,091:90:2343553,784
637:2,380151:16,091:90:2343553,805
638:2,230458:16,08141:90:2343553,818
639:2,230458:16,08141:90:2343553,835
640:2,080765:16,07182:90:2343553,852
641:2,080765:16,07182:90:2343553,886
642:1,931072:16,06223:90:2343553,902
643:1,931072:16,06223:90:2343553,919
644:1,781379:16,05263:90:2343553,936
645:1,781379:16,05263:90:2343553,953
646:1,631686:16,04304:90:2343553,987
647:1,631686:16,04304:90:2343554,004
648:1,481993:16,03345:90:2343554,021
649:1,481993:16,03345:90:2343554,038
650:1,3323:16,02386:90:2343554,055
651:1,3323:16,02386:90:2343554,072
652:1,182607:16,01426:90:2343554,105
653:1,182607:16,01426:90:2343554,122
654:0,96:16:90:2343554,139
655:0,96:16:90:2343554,156
656:0,96:16:90:2343554,172
657:0,96:16:90:2343554,206
658:0,96:16:90:2343554,222
659:0,96:16:90:2343554,239
660:0,96:16:90:2343554,256
661:0,96:16:90:2343554,273
662:0,96:16:90:2343554,307
663:0,96:16:90:2343554,323
664:0,96:16:90:2343554,34
665:0,96:16:90:2343554,357
666:0,96:16:90:2343554,373
667:0,96:16:90:2343554,407
668:0,96:16:90:2343554,424
669:0,96:16:90:2343554,44
670:0,96:16:90:2343554,457
671:0,96:16:90:2343554,474
672:0,96:16:90:2343554,508
673:0,96:16:90:2343554,525
674:0,96:16:90:2343554,541
675:0,96:16:90:2343554,558
676:0,96:16:90:2343554,575
677:0,96:16:90:2343554,592
678:0,96:16:90:2343554,631
679:1,11:16:90:2343554,642
680:1,11:16:90:2343554,659
681:1,26:16:90:2343554,676
682:1,26:16:90:2343554,693
683:1,41:16:90:2343554,727
684:1,41:16:90:2343554,744
685:1,56:16:90:2343554,76
686:1,56:16:90:2343554,777
687:1,71:16:90:2343554,794
688:1,71:16:90:2343554,828
689:1,86:16:90:2343554,844
690:1,86:16:90:2343554,861
691:2,01:16:90:2343554,878
692:2,01:16:90:2343554,895
693:2,16:16:90:2343554,928
694:2,16:16:90:2343554,945
695:2,31:16:90:2343554,962
696:2,31:16:90:2343554,979
697:2,46:16:90:2343554,996
698:2,46:16:90:2343555,013
699:2,61:16:90:2343555,047
700:2,61:16:90:2343555,064
701:2,76:16:90:2343555,081
702:2,76:16:90:2343555,098
703:2,910001:16:90:2343555,114
704:2,910001:16:90:2343555,148
705:3,060001:16:90:2343555,164
706:3,060001:16:90:2343555,181
707:3,210001:16:90:2343555,198
708:3,210001:16:90:2343555,215
709:3,360001:16:90:2343555,248
710:3,360001:16:90:2343555,265
711:3,510001:16:90:2343555,282
712:3,510001:16:90:2343555,298
713:3,660001:16:90:2343555,315
714:3,660001:16:90:2343555,332
715:3,92:16:90:2343555,365
716:3,92:16:90:2343555,382
717:3,92:16:90:2343555,399
718:3,92:16:90:2343555,416
719:3,92:16:90:2343555,432
720:3,92:16:90:2343555,466
721:3,92:16:90:2343555,482
722:3,92:16:90:2343555,499
723:3,92:16:90:2343555,516
724:3,92:16:90:2343555,532
725:3,92:16:90:2343555,566
726:3,92:16:90:2343555,583
727:3,92:16:90:2343555,6
728:3,92:16:90:2343555,617
729:3,92:16:90:2343555,633
730:3,92:16:90:2343555,667
731:3,92:16:90:2343555,684
732:3,92:16:90:2343555,701
733:3,92:16:90:2343555,718
734:3,92:16:90:2343555,735
735:3,92:16:90:2343555,768
736:3,92:16:90:2343555,785
737:3,92:16:90:2343555,802
738:3,92:16:90:2343555,818
739:3,92:16:90:2343555,835
