Index:PostionX:PostionZ:RotationAngle:PhotonTime
1:0:0,085:0:553944,741
238:-1,105:12,75:270:553949,499
239:-1,02:12,75:270:553949,513
240:-0,9349995:12,75:270:553949,528
241:-0,8499995:12,75:270:553949,545
242:-0,7649996:12,75:270:553949,562
243:-0,6799996:12,75:270:553949,583
244:-0,5949996:12,75:270:553949,615
245:-0,5099996:12,75:270:553949,632
246:-0,2549995:12,75:270:553949,647
247:-0,1699995:12,75:270:553949,665
248:-0,08499954:12,75:270:553949,682
249:4,61936E-07:12,75:270:553949,715
250:0,08500046:12,75:270:553949,732
251:0,08500046:12,835:270:553949,747
252:0,08500046:12,92:270:553949,764
253:0,08500046:13,005:270:553949,782
254:0,08500046:13,09:270:553949,818
255:0,08500046:13,175:270:553949,833
256:0,08500046:13,26:270:553949,85
257:0,08500046:13,34501:270:553949,865
258:0,08500046:13,43001:270:553949,884
259:0,08500046:13,51501:270:553949,899
260:0,08500046:13,60001:270:553949,934
261:0,08500046:13,68501:270:553949,949
262:0,08500046:13,77001:270:553949,966
263:0,08500046:13,85501:270:553949,983
264:0,08500046:13,94001:270:553949,999
265:0,08500046:14,02501:270:553950,033
266:0,08500046:14,11001:270:553950,05
267:0,08500046:14,19501:270:553950,067
268:0,08500046:14,28001:270:553950,083
269:0,08500046:14,36501:270:553950,1
270:0,08500046:14,45001:270:553950,133
271:0,08500046:14,53501:270:553950,15
272:0,08500046:14,62001:270:553950,167
273:0,08500046:14,70501:270:553950,183
274:0,08500046:14,79001:270:553950,2
275:0,08500046:14,87501:270:553950,234
276:0,08500046:14,96001:270:553950,251
277:0,08500046:15,04501:270:553950,268
278:0,08500046:15,13001:270:553950,285
279:0,08500046:15,21501:270:553950,302
280:0,08500046:15,30001:270:553950,335
281:0,08500046:15,38501:270:553950,352
282:0,08500046:15,47001:270:553950,381
283:0,08500046:15,55501:270:553950,389
284:0,08500046:15,64001:270:553950,406
285:0,08500046:15,72501:270:553950,423
286:0,08500046:15,81001:270:553950,44
287:0,08500046:15,89501:270:553950,474
288:0,08500046:15,98001:270:553950,49
289:0,08500046:16,06501:270:553950,507
290:0,08500046:16,15001:270:553950,524
291:0,08500046:16,235:270:553950,54
292:0,08500046:16,32:270:553950,582
293:0,08500046:16,405:270:553950,59
294:0,08500046:16,49:270:553950,61
295:4,023314E-07:16,66:270:553950,647
296:4,023314E-07:16,745:270:553950,653
297:4,023314E-07:16,83:270:553950,672
298:4,023314E-07:16,915:270:553950,687
299:4,023314E-07:17:270:553950,705
300:4,023314E-07:17,085:270:553950,72
301:0,0425004:17,12749:45:553950,768
302:0,0850004:17,16999:45:553950,775
303:0,1275004:17,21249:45:553950,793
304:0,1700004:17,25499:45:553950,81
305:0,2125004:17,29749:45:553950,826
306:0,2550004:17,33999:45:553950,844
307:0,2975004:17,38249:45:553950,86
308:0,3400004:17,42499:45:553950,896
309:0,3825004:17,46749:45:553950,911
310:0,4250004:17,50999:45:553950,927
311:0,4675004:17,55249:45:553950,946
312:0,5100003:17,59499:45:553950,963
313:0,5525004:17,63749:45:553950,995
314:0,5950004:17,67999:45:553951,013
315:0,6375004:17,72249:45:553951,03
316:0,6800004:17,76499:45:553951,046
317:0,7225004:17,80749:45:553951,063
318:0,7650005:17,84999:45:553951,097
319:0,8075005:17,89249:45:553951,112
320:0,8500005:17,93499:45:553951,129
321:0,8925005:17,97749:45:553951,148
322:0,9350005:18,01999:45:553951,163
323:0,9775006:18,06248:45:553951,181
324:1,020001:18,10498:45:553951,215
325:1,062501:18,14748:45:553951,229
326:1,105001:18,18998:45:553951,247
327:1,147501:18,23248:45:553951,264
328:1,190001:18,27498:45:553951,28
329:1,232501:18,31748:45:553951,319
330:1,275001:18,35998:45:553951,33
331:1,317501:18,40248:45:553951,347
332:1,360001:18,44498:45:553951,363
333:1,402501:18,48748:45:553951,382
334:1,445001:18,52998:45:553951,415
335:1,487501:18,57248:45:553951,43
336:1,530001:18,61498:45:553951,449
337:1,572501:18,65748:45:553951,464
338:1,615001:18,69998:45:553951,48
339:1,657501:18,74248:45:553951,514
340:1,700001:18,78498:45:553951,53
341:1,742501:18,82748:45:553951,547
342:1,785001:18,86998:45:553951,564
343:1,827501:18,91248:45:553951,581
344:1,870001:18,95498:45:553951,615
345:1,912501:18,99747:45:553951,632
346:1,955001:19,03997:45:553951,649
347:1,997501:19,08247:45:553951,666
348:2,040001:19,12497:45:553951,683
349:2,082501:19,16747:45:553951,7
350:2,125001:19,20997:45:553951,733
351:2,167501:19,16747:135:553951,75
352:2,210001:19,12497:135:553951,767
353:2,252501:19,08247:135:553951,784
354:2,295001:19,03997:135:553951,801
355:2,337501:18,99747:135:553951,834
356:2,380001:18,95498:135:553951,851
357:2,422501:18,91248:135:553951,868
358:2,465001:18,86998:135:553951,885
359:2,507501:18,82748:135:553951,902
360:2,550001:18,78498:135:553951,93
361:2,592501:18,74248:135:553951,953
362:2,635001:18,69998:135:553951,97
363:2,677501:18,65748:135:553951,986
364:2,720001:18,61498:135:553952,003
365:2,762501:18,57248:135:553952,02
366:2,805001:18,52998:135:553952,054
367:2,847501:18,48748:135:553952,071
368:2,890001:18,44498:135:553952,088
369:2,932501:18,40248:135:553952,104
370:2,975001:18,35998:135:553952,121
371:3,017501:18,31748:135:553952,155
372:3,060001:18,27498:135:553952,171
373:3,102501:18,23248:135:553952,188
374:3,145001:18,18998:135:553952,205
375:3,187501:18,14748:135:553952,222
376:3,230001:18,10498:135:553952,239
377:3,272501:18,06248:135:553952,272
378:3,315001:18,01999:135:553952,289
379:3,357502:17,97749:135:553952,306
380:3,400002:17,93499:135:553952,322
381:3,442502:17,89249:135:553952,339
382:3,485002:17,84999:135:553952,373
383:3,527502:17,80749:135:553952,39
384:3,570002:17,76499:135:553952,407
385:3,612502:17,72249:135:553952,424
386:3,655002:17,67999:135:553952,441
387:3,697502:17,63749:135:553952,474
388:3,825002:17,59499:135:553952,505
389:3,867502:17,55249:135:553952,514
390:3,910002:17,50999:135:553952,531
391:3,952502:17,46749:135:553952,548
392:3,995002:17,42499:135:553952,565
393:4,037502:17,38249:135:553952,582
394:4,080002:17,33999:135:553952,599
395:4,122502:17,29749:135:553952,633
396:4,165002:17,25499:135:553952,65
397:4,207502:17,21249:135:553952,667
398:4,250002:17,16999:135:553952,684
399:4,292502:17,12749:135:553952,701
400:4,335002:17,085:135:553952,735
401:4,292502:17,0425:225:553952,752
402:4,250002:17:225:553952,769
403:4,207502:16,9575:225:553952,786
404:4,165002:16,915:225:553952,803
405:4,122502:16,8725:225:553952,82
406:4,080002:16,83:225:553952,853
407:4,037502:16,7875:225:553952,87
408:3,995002:16,745:225:553952,887
409:3,952502:16,7025:225:553952,904
410:3,910002:16,66:225:553952,921
411:3,867502:16,6175:225:553952,955
412:3,825002:16,575:225:553952,972
413:3,782502:16,5325:225:553952,989
414:3,740002:16,49:225:553953,028
415:3,697502:16,4475:225:553953,035
416:3,655002:16,405:225:553953,052
417:3,612502:16,3625:225:553953,069
418:3,570002:16,32:225:553953,091
419:3,527502:16,2775:225:553953,102
420:3,485002:16,235:225:553953,135
421:3,442502:16,1925:225:553953,153
422:3,400002:16,15001:225:553953,17
423:3,357502:16,10751:225:553953,186
424:3,315001:16,06501:225:553953,203
425:3,272501:16,02251:225:553953,22
426:3,230001:15,98001:225:553953,254
427:3,187501:15,93751:225:553953,271
428:3,145001:15,89501:225:553953,288
429:3,102501:15,85251:225:553953,304
430:3,060001:15,81001:225:553953,321
431:3,017501:15,76751:225:553953,354
432:2,975001:15,72501:225:553953,371
433:2,932501:15,68251:225:553953,388
434:2,890001:15,64001:225:553953,405
435:2,847501:15,59751:225:553953,422
436:2,805001:15,55501:225:553953,456
437:2,762501:15,51251:225:553953,473
438:2,720001:15,47001:225:553953,49
439:2,677501:15,42751:225:553953,507
440:2,635001:15,38501:225:553953,524
441:2,592501:15,34251:225:553953,54
442:2,592501:15,08752:225:553953,649
443:2,550001:15,04502:225:553953,656
444:2,507501:15,00252:225:553953,656
445:2,465001:14,96002:225:553953,656
446:2,422501:14,91752:225:553953,656
447:2,380001:14,87502:225:553953,674
448:2,337501:14,83252:225:553953,691
449:2,295001:14,79002:225:553953,707
450:2,252501:14,74752:225:553953,724
451:2,210001:14,79002:315:553953,742
452:2,167501:14,83252:315:553953,776
453:1,827501:14,83252:315:553953,815
454:1,785001:14,87502:315:553953,824
455:1,742501:14,91752:315:553953,824
456:1,700001:14,96002:315:553953,839
457:1,657501:15,00252:315:553953,875
458:1,615001:15,04502:315:553953,889
459:1,572501:15,08752:315:553953,906
460:1,530001:15,13002:315:553953,923
461:1,487501:15,17252:315:553953,939
462:1,445001:15,21502:315:553953,974
463:1,402501:15,25751:315:553953,99
464:1,360001:15,30001:315:553954,008
465:1,317501:15,34251:315:553954,024
466:1,275001:15,38501:315:553954,042
467:1,232501:15,42751:315:553954,076
468:1,190001:15,47001:315:553954,092
469:1,147501:15,51251:315:553954,109
470:1,105:15,55501:315:553954,126
471:1,0625:15,59751:315:553954,142
472:1,02:15,64001:315:553954,159
473:0,9775004:15,68251:315:553954,193
474:0,9350004:15,72501:315:553954,21
475:0,8925004:15,76751:315:553954,227
476:0,8500004:15,81001:315:553954,244
477:0,8075004:15,85251:315:553954,261
478:0,7650003:15,89501:315:553954,294
479:0,7225003:15,93751:315:553954,311
480:0,6800003:15,98001:315:553954,328
481:0,6375003:16,02251:315:553954,344
482:0,5950003:16,06501:315:553954,361
483:0,5525002:16,10751:315:553954,394
484:0,5100002:16,15001:315:553954,411
485:0,4675002:16,1925:315:553954,428
486:0,4250003:16,235:315:553954,445
487:0,3825003:16,2775:315:553954,461
488:0,3400003:16,32:315:553954,495
489:0,2975003:16,3625:315:553954,512
490:0,2550003:16,405:315:553954,528
491:0,2125003:16,4475:315:553954,545
492:0,1700003:16,49:315:553954,562
493:0,1275003:16,5325:315:553954,579
494:0,08500028:16,575:315:553954,612
495:0,04250028:16,6175:315:553954,629
496:2,756715E-07:16,66:315:553954,646
497:-0,04249972:16,7025:315:553954,662
498:-0,08499973:16,745:315:553954,679
499:-0,1274997:16,7875:315:553954,712
500:-0,1699997:16,83:315:553954,729
501:-0,08499973:16,83:90:553954,746
502:2,682209E-07:16,83:90:553954,763
503:0,08500027:16,83:90:553954,78
504:0,1700003:17,085:90:553954,859
505:0,2550003:17,085:90:553954,867
506:0,3400003:17,085:90:553954,867
507:0,4250003:17,085:90:553954,867
508:0,5100003:17,085:90:553954,884
509:0,5950003:17,085:90:553954,901
510:0,6800002:17,085:90:553954,935
511:0,7650002:17,085:90:553954,952
512:0,8500002:17,085:90:553954,968
513:0,9350002:17,085:90:553954,985
514:1,02:17,085:90:553955,002
515:1,105:17,085:90:553955,035
516:1,19:17,085:90:553955,052
517:1,275:17,085:90:553955,069
518:1,36:17,085:90:553955,086
519:1,445:17,085:90:553955,103
520:1,53:17,085:90:553955,12
521:1,615:17,085:90:553955,154
522:1,700001:17,085:90:553955,171
523:1,785001:17,085:90:553955,188
524:1,870001:17,085:90:553955,205
525:1,955001:17,085:90:553955,222
526:2,040001:17,085:90:553955,255
527:2,125001:17,085:90:553955,272
528:2,210001:17,085:90:553955,289
529:2,295001:17,085:90:553955,306
530:2,380001:17,085:90:553955,323
531:2,465001:17,085:90:553955,34
532:2,550001:17,085:90:553955,374
533:2,635001:17,085:90:553955,391
534:2,720001:17,085:90:553955,408
535:2,805001:17,085:90:553955,425
536:2,890001:17,085:90:553955,442
537:2,975001:17,085:90:553955,476
538:3,060001:17,085:90:553955,492
539:3,145001:17,085:90:553955,509
540:3,230001:17,085:90:553955,526
541:3,315001:17,085:90:553955,543
542:3,400001:17,085:90:553955,559
543:3,485001:17,085:90:553955,593
544:3,570001:17,085:90:553955,61
545:3,655001:17,085:90:553955,627
546:3,740001:17,085:90:553955,643
547:3,825001:17,085:90:553955,661
548:3,867501:17,21249:90:553955,695
549:3,952502:17,21249:90:553955,712
550:4,037501:17,21249:90:553955,729
551:4,037501:17,21249:90:553955,745
552:4,037501:17,21249:90:553955,762
553:4,037501:17,21249:90:553955,779
554:4,037501:17,21249:90:553955,812
555:4,037501:17,21249:90:553955,83
556:4,037501:17,21249:90:553955,847
557:4,037501:17,21249:90:553955,864
558:4,037501:17,21249:90:553955,88
559:4,037501:17,21249:90:553955,915
560:4,037501:17,21249:90:553955,931
561:4,037501:17,21249:90:553955,948
562:4,037501:17,21249:90:553955,965
563:4,037501:17,21249:90:553955,981
564:4,037501:17,21249:90:553956,016
565:4,037501:17,21249:90:553956,032
566:4,037501:17,21249:90:553956,049
567:4,037501:17,21249:90:553956,066
568:4,037501:17,21249:90:553956,082
569:4,037501:17,21249:90:553956,099
570:4,037501:17,21249:90:553956,133
571:4,037501:17,21249:90:553956,149
572:4,037501:17,21249:90:553956,166
573:4,037501:17,21249:90:553956,183
574:4,037501:17,21249:90:553956,2
575:4,037501:17,21249:90:553956,234
576:4,037501:17,21249:90:553956,251
577:4,037501:17,21249:90:553956,268
578:4,037501:17,21249:90:553956,31
579:4,037501:17,21249:90:553956,318
580:4,037501:17,21249:90:553956,335
581:4,037501:17,21249:90:553956,352
582:4,037501:17,21249:90:553956,368
583:4,037501:17,21249:90:553956,385
584:4,037501:17,21249:90:553956,402
585:4,037501:17,21249:90:553956,419
586:4,037501:17,21249:90:553956,453
587:4,037501:17,21249:90:553956,47
588:4,037501:17,21249:90:553956,487
589:4,037501:17,21249:90:553956,503
590:4,037501:17,21249:90:553956,52
591:4,037501:17,21249:90:553956,553
592:4,037501:17,21249:90:553956,57
593:4,037501:17,21249:90:553956,587
594:4,037501:17,21249:90:553956,603
595:4,037501:17,21249:90:553956,62
596:4,037501:17,21249:90:553956,653
597:4,037501:17,21249:90:553956,672
598:4,760002:17:90:553956,719
599:4,760002:17:90:553956,727
600:4,760002:17:90:553956,727
601:4,760002:17:90:553956,744
602:4,760002:17:90:553956,76
603:4,760002:17:90:553956,794
604:4,760002:17:90:553956,811
605:4,760002:17:90:553956,828
606:4,760002:17:90:553956,844
607:4,760002:17:90:553956,861
608:4,760002:17:90:553956,895
609:4,760002:17:90:553956,911
610:4,760002:17:90:553956,928
611:4,760002:17:90:553956,945
612:4,760002:17:90:553956,962
613:4,760002:17:90:553956,995
614:4,760002:17:90:553957,013
615:4,760002:17:90:553957,03
616:4,760002:17:90:553957,046
617:4,760002:17:90:553957,063
618:4,760002:17:90:553957,08
619:4,760002:17:90:553957,114
620:4,760002:17:90:553957,131
621:4,760002:17:90:553957,147
622:4,760002:17:90:553957,164
623:4,760002:17:90:553957,181
624:4,250001:17:90:553957,27
625:4,250001:17:90:553957,277
626:4,250001:17:90:553957,277
627:4,250001:17:90:553957,277
628:4,250001:17:90:553957,294
629:4,250001:17:90:553957,311
630:4,250001:17:90:553957,328
631:4,250001:17:90:553957,344
632:4,250001:17:90:553957,362
633:4,250001:17:90:553957,396
634:4,250001:17:90:553957,412
635:4,250001:17:90:553957,43
636:4,250001:17:90:553957,447
637:4,250001:17:90:553957,464
638:4,250001:17:90:553957,48
639:4,250001:17:90:553957,514
640:4,250001:17:90:553957,531
641:4,250001:17:90:553957,547
642:4,250001:17:90:553957,564
643:4,250001:17:90:553957,58
644:4,250001:17:90:553957,615
645:4,250001:17:90:553957,632
646:4,250001:17:90:553957,648
647:4,250001:17:90:553957,666
648:4,250001:17:90:553957,682
649:4,250001:17:90:553957,699
650:4,250001:17:90:553957,733
651:4,250001:17:90:553957,754
652:4,250001:17:90:553957,766
653:4,250001:17:90:553957,783
654:4,250001:17:90:553957,8
655:4,250001:17:90:553957,834
656:4,250001:17:90:553957,85
657:4,250001:17:90:553957,867
658:4,250001:17:90:553957,884
659:4,250001:17:90:553957,901
660:4,250001:17:90:553957,935
661:4,250001:17:90:553957,952
662:4,250001:17:90:553957,969
663:4,250001:17:90:553957,985
664:4,250001:17:90:553958,002
665:4,250001:17:90:553958,019
666:4,250001:17:90:553958,053
667:4,250001:17:90:553958,07
668:4,250001:17:90:553958,087
669:4,250001:17:90:553958,104
670:4,250001:17:90:553958,12
671:4,250001:17:90:553958,154
672:4,250001:17:90:553958,171
673:4,250001:17:90:553958,188
674:4,250001:17:90:553958,207
675:4,250001:17:90:553958,222
676:4,250001:17:90:553958,255
677:4,250001:17:90:553958,272
678:4,250001:17:90:553958,289
679:4,250001:17:90:553958,307
680:4,250001:17:90:553958,323
681:4,250001:17:90:553958,339
682:4,250001:17:90:553958,372
683:4,250001:17:90:553958,389
684:4,250001:17:90:553958,406
685:4,250001:17:90:553958,423
686:4,250001:17:90:553958,44
687:4,250001:17:90:553958,474
688:4,250001:17:90:553958,491
689:4,250001:17:90:553958,507
690:4,250001:17:90:553958,524
691:4,250001:17:90:553958,54
692:4,250001:17:90:553958,575
693:4,250001:17:90:553958,592
694:4,250001:17:90:553958,608
695:4,250001:17:90:553958,625
696:4,250001:17:90:553958,642
697:4,250001:17:90:553958,678
698:4,250001:17:90:553958,693
699:4,250001:17:90:553958,71
700:4,250001:17:90:553958,727
701:4,250001:17:90:553958,744
702:4,250001:17:90:553958,76
703:4,250001:17:90:553958,794
704:4,250001:17:90:553958,81
705:4,250001:17:90:553958,827
706:4,250001:17:90:553958,844
707:4,250001:17:90:553958,861
708:4,250001:17:90:553958,895
709:4,250001:17:90:553958,911
710:4,250001:17:90:553958,928
711:4,250001:17:90:553958,945
712:4,250001:17:90:553958,962
713:4,250001:17:90:553958,995
714:4,250001:17:90:553959,012
715:4,250001:17:90:553959,028
716:4,250001:17:90:553959,045
717:4,250001:17:90:553959,062
718:4,250001:17:90:553959,096
719:4,250001:17:90:553959,113
720:4,250001:17:90:553959,129
721:4,250001:17:90:553959,147
722:4,250001:17:90:553959,164
723:4,250001:17:90:553959,179
724:4,250001:17:90:553959,214
725:4,250001:17:90:553959,231
726:4,250001:17:90:553959,247
727:4,250001:17:90:553959,264
728:4,250001:17:90:553959,281
729:4,250001:17:90:553959,314
730:4,250001:17:90:553959,331
731:4,250001:17:90:553959,347
732:4,250001:17:90:553959,365
733:4,250001:17:90:553959,382
734:4,250001:17:90:553959,415
735:4,250001:17:90:553959,432
736:4,250001:17:90:553959,448
737:4,250001:17:90:553959,466
738:4,250001:17:90:553959,482
739:4,250001:17:90:553959,5
740:4,250001:17:90:553959,534
741:4,250001:17:90:553959,55
742:4,250001:17:90:553959,567
743:4,250001:17:90:553959,584
744:4,250001:17:90:553959,601
745:4,250001:17:90:553959,635
746:4,250001:17:90:553959,652
747:4,250001:17:90:553959,668
748:4,250001:17:90:553959,685
749:4,250001:17:90:553959,703
750:4,250001:17:90:553959,719
