Index:PostionX:PostionZ:RotationAngle:PhotonTime
125:0:0:0:3262191,887
399:4,023314E-07:15,55501:270:3262197,337
400:4,023314E-07:15,64001:270:3262197,354
401:4,023314E-07:15,72501:270:3262197,387
402:4,023314E-07:15,81001:270:3262197,405
403:4,023314E-07:15,89501:270:3262197,422
404:4,023314E-07:15,98001:270:3262197,438
405:4,023314E-07:16,06501:270:3262197,455
406:4,023314E-07:16,15001:270:3262197,488
407:4,023314E-07:16,235:270:3262197,505
408:4,023314E-07:16,32:270:3262197,522
409:4,023314E-07:16,405:270:3262197,539
410:4,023314E-07:16,49:270:3262197,556
411:4,023314E-07:16,575:270:3262197,589
412:4,023314E-07:16,66:270:3262197,607
413:4,023314E-07:16,745:270:3262197,624
414:4,023314E-07:16,83:270:3262197,641
415:4,023314E-07:16,745:270:3262197,693
416:4,023314E-07:16,66:270:3262197,7
417:4,023314E-07:16,575:270:3262197,7
418:4,023314E-07:16,49:270:3262197,717
419:4,023314E-07:16,575:270:3262197,734
420:4,023314E-07:16,66:270:3262197,767
421:4,023314E-07:16,745:270:3262197,784
422:4,023314E-07:16,83:270:3262197,801
423:4,023314E-07:16,915:270:3262197,818
424:4,023314E-07:17:270:3262197,835
425:4,023314E-07:17,085:270:3262197,869
426:4,023314E-07:17,16999:270:3262197,886
427:4,023314E-07:17,25499:270:3262197,903
428:4,023314E-07:17,33999:270:3262197,919
429:4,023314E-07:17,42499:270:3262197,936
430:4,023314E-07:17,50999:270:3262197,969
431:4,023314E-07:17,59499:270:3262197,986
432:4,023314E-07:17,67999:270:3262198,003
433:4,023314E-07:17,76499:270:3262198,019
434:4,023314E-07:17,84999:270:3262198,036
435:4,023314E-07:17,93499:270:3262198,053
436:4,023314E-07:18,01999:270:3262198,086
437:4,023314E-07:18,10498:270:3262198,103
438:4,023314E-07:18,18998:270:3262198,12
439:4,023314E-07:18,27498:270:3262198,137
440:4,023314E-07:18,35998:270:3262198,154
441:4,023314E-07:18,44498:270:3262198,187
442:4,023314E-07:18,52998:270:3262198,204
443:4,023314E-07:18,61498:270:3262198,221
444:4,023314E-07:18,69998:270:3262198,238
445:4,023314E-07:18,78498:270:3262198,254
446:4,023314E-07:18,86998:270:3262198,288
447:4,023314E-07:18,95498:270:3262198,304
448:4,023314E-07:19,03997:270:3262198,321
449:4,023314E-07:19,12497:270:3262198,338
450:4,023314E-07:19,20997:270:3262198,355
451:4,023314E-07:19,29497:270:3262198,389
452:4,023314E-07:19,37997:270:3262198,406
453:4,023314E-07:19,46497:270:3262198,422
454:4,023314E-07:19,54997:270:3262198,439
455:4,023314E-07:19,63497:270:3262198,456
456:4,023314E-07:19,71997:270:3262198,542
457:4,023314E-07:19,80497:270:3262198,551
458:4,023314E-07:19,88997:270:3262198,551
459:4,023314E-07:19,97496:270:3262198,551
460:4,023314E-07:20,05996:270:3262198,567
461:4,023314E-07:20,14496:270:3262198,584
462:4,023314E-07:20,22996:270:3262198,601
463:4,023314E-07:20,31496:270:3262198,618
464:4,023314E-07:20,39996:270:3262198,634
465:4,023314E-07:20,48496:270:3262198,668
466:4,023314E-07:20,56996:270:3262198,685
467:4,023314E-07:20,65496:270:3262198,702
468:4,023314E-07:20,73996:270:3262198,719
469:4,023314E-07:20,82495:270:3262198,736
470:4,023314E-07:20,90995:270:3262198,77
471:4,023314E-07:20,99495:270:3262198,786
472:4,023314E-07:21,07995:270:3262198,803
473:4,023314E-07:21,16495:270:3262198,82
474:4,023314E-07:21,24995:270:3262198,837
475:4,023314E-07:21,33495:270:3262198,854
476:4,023314E-07:21,41995:270:3262198,887
477:4,023314E-07:21,50495:270:3262198,904
478:4,023314E-07:21,58995:270:3262198,921
479:4,023314E-07:21,67495:270:3262198,938
480:4,023314E-07:21,75994:270:3262198,955
481:4,023314E-07:21,84494:270:3262198,988
482:4,023314E-07:21,92994:270:3262199,005
483:4,023314E-07:22,01494:270:3262199,022
484:4,023314E-07:22,09994:270:3262199,039
485:4,023314E-07:22,18494:270:3262199,056
486:4,023314E-07:22,26994:270:3262199,073
487:4,023314E-07:22,35494:270:3262199,107
488:4,023314E-07:22,43994:270:3262199,124
489:4,023314E-07:22,52494:270:3262199,141
490:4,023314E-07:22,60994:270:3262199,157
491:4,023314E-07:22,69493:270:3262199,174
492:4,023314E-07:22,77993:270:3262199,208
493:4,023314E-07:22,86493:270:3262199,225
494:4,023314E-07:22,94993:270:3262199,242
495:4,023314E-07:23,03493:270:3262199,259
496:4,023314E-07:23,11993:270:3262199,276
497:0,5206255:22,08932:270:3262199,36
498:1,04125:21,0587:270:3262199,367
499:1,561876:20,02809:270:3262199,367
500:2,0825:18,99747:270:3262199,367
501:2,125:19,03997:270:3262199,384
502:2,1675:19,08247:270:3262199,401
503:2,210001:19,12497:270:3262199,418
504:2,252501:19,16747:270:3262199,435
505:2,295001:19,20997:270:3262199,469
506:2,337501:19,25247:270:3262199,486
507:2,380001:19,29497:270:3262199,503
508:2,422501:19,33747:270:3262199,519
509:2,465001:19,37997:270:3262199,536
510:2,507501:19,42247:270:3262199,57
511:2,550001:19,46497:270:3262199,586
512:2,592501:19,50747:270:3262199,603
513:2,635001:19,54997:270:3262199,62
514:2,677501:19,59247:270:3262199,637
515:2,720001:19,63497:270:3262199,654
516:2,762501:19,67747:270:3262199,688
517:2,805001:19,71997:270:3262199,704
518:2,847501:19,76247:270:3262199,721
519:2,890001:19,80497:270:3262199,738
520:2,932501:19,84747:270:3262199,754
521:2,975001:19,88997:270:3262199,788
522:3,017501:19,93246:270:3262199,804
523:3,060001:19,97496:270:3262199,821
524:3,102501:20,01746:270:3262199,838
525:3,145001:20,05996:270:3262199,855
526:3,187501:20,10246:270:3262199,889
527:3,230001:20,14496:270:3262199,906
528:3,272501:20,18746:270:3262199,923
529:3,315001:20,22996:270:3262199,94
530:3,357501:20,27246:270:3262199,956
531:3,400001:20,31496:270:3262199,973
532:3,442501:20,35746:270:3262200,006
533:3,485001:20,39996:270:3262200,023
534:3,527501:20,44246:270:3262200,04
535:3,570001:20,48496:270:3262200,057
536:3,612501:20,52746:270:3262200,073
537:3,655001:20,56996:270:3262200,108
538:3,697501:20,61246:270:3262200,124
539:3,740001:20,65496:270:3262200,141
540:3,782501:20,69746:270:3262200,158
541:3,825001:20,73996:270:3262200,175
542:3,867501:20,78246:270:3262200,208
543:3,910001:20,82495:270:3262200,225
544:3,952501:20,86745:270:3262200,242
545:3,995001:20,90995:270:3262200,258
546:4,037501:20,95245:270:3262200,275
547:4,080001:20,99495:270:3262200,308
548:4,122501:21,03745:270:3262200,325
549:4,165001:21,07995:270:3262200,342
550:4,207501:21,12245:270:3262200,359
551:4,250001:21,16495:270:3262200,375
552:4,292501:21,20745:270:3262200,409
553:4,335001:21,24995:270:3262200,426
554:4,377501:21,29245:270:3262200,443
555:4,420002:21,33495:270:3262200,459
556:4,462502:21,37745:270:3262200,476
557:4,505002:21,41995:270:3262200,51
558:4,547502:21,46245:270:3262200,527
559:4,590002:21,50495:270:3262200,544
560:4,632502:21,54745:270:3262200,561
561:4,675002:21,58995:270:3262200,578
562:4,717502:21,63245:270:3262200,595
563:4,760002:21,67495:270:3262200,629
564:4,802502:21,71745:270:3262200,646
565:4,845002:21,75994:270:3262200,663
566:4,887502:21,80244:270:3262200,679
567:4,930002:21,84494:270:3262200,696
568:4,972502:21,88744:270:3262200,729
569:5,015002:21,92994:270:3262200,746
570:5,057502:21,97244:270:3262200,763
571:5,100002:22,01494:270:3262200,779
572:5,142502:22,05744:270:3262200,796
573:5,185002:22,09994:270:3262200,829
659:4,080001:20,80371:46:3262202,686
660:2,975001:19,50747:45:3262202,693
661:1,870001:18,21123:45:3262202,693
662:0,7650002:16,915:45:3262202,693
663:0,8500002:16,915:45:3262202,693
664:0,9350002:16,915:45:3262202,693
665:1,02:16,915:45:3262202,693
666:1,105:16,915:45:3262202,693
667:1,19:16,915:45:3262202,693
668:1,275:16,915:45:3262202,727
669:1,36:16,915:45:3262202,744
670:1,445:16,915:45:3262202,76
671:1,53:16,915:45:3262202,777
672:1,615:16,915:45:3262202,794
673:1,700001:16,915:45:3262202,827
674:1,785001:16,915:45:3262202,844
675:1,870001:16,915:45:3262202,861
676:1,955001:16,915:45:3262202,877
677:2,040001:16,915:45:3262202,895
678:2,125001:16,915:45:3262202,928
679:2,210001:16,915:45:3262202,945
680:2,295001:16,915:45:3262202,962
681:2,380001:16,915:45:3262202,979
682:2,465001:16,915:45:3262202,995
683:2,550001:16,915:45:3262203,029
684:2,635001:16,915:45:3262203,046
685:2,720001:16,915:45:3262203,062
686:2,805001:16,915:45:3262203,08
687:2,890001:16,915:45:3262203,097
688:2,975001:16,915:45:3262203,114
689:3,060001:16,915:45:3262203,147
690:3,145001:16,915:45:3262203,164
691:3,230001:16,915:45:3262203,181
692:3,315001:16,915:45:3262203,197
693:3,400001:16,915:45:3262203,214
694:3,485001:16,915:45:3262203,247
695:3,570001:16,915:45:3262203,265
696:3,655001:16,915:45:3262203,282
697:3,740001:16,915:45:3262203,298
698:3,825001:16,915:45:3262203,315
699:3,910002:16,915:45:3262203,348
700:3,995002:16,915:90:3262203,422
701:4,080001:16,915:90:3262203,43
702:4,165001:16,915:90:3262203,43
703:4,250001:16,915:90:3262203,43
704:4,250001:16,915:90:3262203,447
705:4,250001:16,915:90:3262203,464
706:4,250001:16,915:90:3262203,481
707:4,250001:16,915:90:3262203,497
708:4,250001:16,915:90:3262203,514
709:4,250001:16,915:90:3262203,547
710:4,250001:16,915:90:3262203,564
711:4,250001:16,915:90:3262203,581
712:4,250001:16,915:90:3262203,597
713:4,250001:16,915:90:3262203,615
714:4,250001:16,915:90:3262203,648
715:4,250001:16,915:90:3262203,665
716:4,250001:16,915:90:3262203,681
717:4,250001:16,915:90:3262203,698
718:4,250001:16,915:90:3262203,715
719:4,250001:16,915:90:3262203,735
720:4,250001:16,915:90:3262203,768
721:4,250001:16,915:90:3262203,787
722:4,250001:16,915:90:3262203,802
723:4,250001:16,915:90:3262203,819
724:4,250001:16,915:90:3262203,836
725:4,250001:16,915:90:3262203,853
726:4,250001:16,915:90:3262203,887
727:4,250001:16,915:90:3262203,903
728:4,250001:16,915:90:3262203,92
729:4,250001:16,915:90:3262203,937
730:4,250001:16,915:90:3262203,954
731:4,250001:16,915:90:3262203,987
732:4,250001:16,915:90:3262204,004
733:4,250001:16,915:90:3262204,021
734:4,250001:16,915:90:3262204,038
735:4,250001:16,915:90:3262204,054
736:4,250001:16,915:90:3262204,088
737:4,250001:16,915:90:3262204,105
738:4,250001:16,915:90:3262204,121
739:4,250001:16,915:90:3262204,138
740:4,250001:16,915:90:3262204,155
741:4,250001:16,915:90:3262204,189
742:4,250001:16,915:90:3262204,206
743:4,250001:16,915:90:3262204,223
744:4,250001:16,915:90:3262204,24
745:4,250001:16,915:90:3262204,257
746:4,250001:16,915:90:3262204,273
747:4,250001:16,915:90:3262204,307
748:4,250001:16,915:90:3262204,324
749:4,250001:16,915:90:3262204,341
750:4,250001:16,915:90:3262204,358
