Index:PostionX:PostionY:PostionZ:RotationAngleX:RotationAngleY:RotationAngleZ:PhotonTime
179:-0,5164955:0,7391024:10,48607:325:194:172:2338743,438
180:-0,5588579:0,7241843:11,20748:325:194:172:2338743,455
181:-0,5294313:0,7429814:11,29987:317:194:173:2338743,471
182:-0,5015818:0,750291:11,39248:310:194:174:2338743,488
183:-0,4737322:0,7536766:11,48509:302:194:174:2338743,521
184:-0,4458827:0,7531382:11,5777:294:193:175:2338743,538
185:-0,4180331:0,7486758:11,67031:286:192:177:2338743,555
186:-0,3901836:0,7402893:11,76292:278:188:181:2338743,572
187:-0,362334:0,7279789:11,85553:272:97:272:2338743,588
188:-0,3344845:0,7117445:11,94814:279:24:346:2338743,622
189:-0,3066349:0,6915861:12,04075:286:21:350:2338743,638
190:-0,2787853:0,6675037:12,13336:294:20:351:2338743,655
191:-0,2788696:0,6931939:12,21452:301:16:356:2338743,672
192:-0,2787901:0,715107:12,29543:307:13:359:2338743,688
193:-0,2787105:0,7330962:12,37634:314:12:1:2338743,722
194:-0,278631:0,7471613:12,45725:321:11:2:2338743,738
195:-0,2785515:0,7573025:12,53816:327:10:4:2338743,755
196:-0,278472:0,7635196:12,61907:334:10:5:2338743,772
197:-0,2783925:0,7658127:12,69999:341:10:6:2338743,789
198:-0,278313:0,7641819:12,7809:348:10:7:2338743,822
199:-0,2782335:0,758627:12,86181:354:10:8:2338743,839
200:-0,278154:0,7491481:12,94272:1:10:9:2338743,856
201:-0,2780744:0,7357453:13,02363:8:10:10:2338743,874
202:-0,2779949:0,7184184:13,10454:14:11:12:2338743,89
203:-0,2779154:0,6971675:13,18546:21:11:13:2338743,907
204:-0,2582011:0,7312221:13,24728:26:11:12:2338743,941
205:-0,2392525:0,7556644:13,31036:31:11:11:2338743,958
206:-0,2210051:0,7735309:13,37312:37:11:10:2338743,975
207:-0,2027578:0,7874734:13,43587:43:11:10:2338743,993
208:-0,1845104:0,797492:13,49862:48:10:9:2338744,009
209:-0,166263:0,8035865:13,56137:54:10:8:2338744,026
210:-0,1480157:0,805757:13,62413:59:9:7:2338744,059
211:-0,1297683:0,8040035:13,68688:65:8:6:2338744,076
212:-0,111521:0,798326:13,74963:70:7:4:2338744,093
213:-0,09327359:0,7887245:13,81238:76:4:360:2338744,109
214:-0,07502624:0,7751991:13,87514:81:357:353:2338744,127
215:-0,05677888:0,7577496:13,93789:86:335:331:2338744,16
216:-0,03853152:0,736376:14,00064:87:251:246:2338744,177
217:-0,02028416:0,7110786:14,0634:82:217:213:2338744,194
218:-0,002036802:0,6818571:14,12615:77:209:204:2338744,211
219:0,01621056:0,6487116:14,1889:72:205:200:2338744,228
220:0,007407635:0,6668968:14,23636:69:198:193:2338744,262
221:-0,005216864:0,6849986:14,28178:65:194:187:2338744,279
222:-0,01590098:0,6946886:14,32784:62:191:184:2338744,296
223:-0,02658511:0,7004546:14,37391:58:189:181:2338744,312
224:-0,03409745:0,7081828:14,41916:54:187:179:2338744,329
225:-0,0383925:0,7183899:14,46335:51:186:178:2338744,363
226:-0,0414787:0,7271029:14,50731:47:186:177:2338744,38
227:-0,04414271:0,7327645:14,5513:44:185:177:2338744,397
228:-0,04641769:0,7353076:14,5953:40:185:176:2338744,414
229:-0,04823269:0,7348756:14,63933:37:184:175:2338744,431
230:-0,04956469:0,7315167:14,68339:34:184:175:2338744,448
231:-0,05042434:0,7252138:14,7275:30:184:175:2338744,482
232:-0,05084218:0,7159134:14,77166:27:184:174:2338744,498
233:-0,05086309:0,7035369:14,81585:23:184:174:2338744,515
234:-0,05054824:0,6879799:14,86006:20:184:174:2338744,532
235:-0,04997431:0,6691154:14,90423:16:184:174:2338744,549
236:-0,04923537:0,6467938:14,94828:12:184:174:2338744,588
237:-0,1601489:0,8071097:13,92262:33:11:360:2338744,599
238:-0,1161745:0,8511813:14,08854:308:181:199:2338744,616
239:-0,09799751:0,8665444:14,21918:308:181:199:2338744,633
240:-0,08098864:0,8809203:14,34143:308:181:199:2338744,652
241:-0,06303729:0,8960927:14,47045:308:181:199:2338744,67
242:-0,04221388:0,9136926:14,62011:308:181:199:2338744,701
243:-0,0159889:0,9358579:14,80859:308:181:199:2338744,717
244:0,01958771:0,9659272:15,06429:308:181:199:2338744,734
245:0,07100181:1,009382:15,43381:308:181:199:2338744,75
246:0,1478387:1,074325:15,98604:308:181:199:2338744,767
247:0,2558999:1,165658:16,7627:308:181:199:2338744,8
248:0,3580187:1,251969:17,49664:308:181:199:2338744,817
249:0,3713468:1,263233:17,59243:308:181:199:2338744,834
250:0,3574896:1,22194:17,78031:20:189:165:2338744,85
251:0,3554752:1,212945:17,91665:20:189:165:2338744,867
252:0,353718:1,205098:18,03559:20:189:165:2338744,9
253:0,3520076:1,197461:18,15135:20:189:165:2338744,917
254:0,3501981:1,189381:18,27382:20:189:165:2338744,934
255:0,3481417:1,180198:18,41301:20:189:165:2338744,951
256:0,3456464:1,169056:18,5819:20:189:165:2338744,967
257:0,3424214:1,154655:18,80017:20:189:165:2338745,001
258:0,3379929:1,134881:19,09991:20:189:165:2338745,019
259:0,331574:1,106218:19,53437:20:189:165:2338745,035
260:0,3219791:1,063374:20,18378:20:189:165:2338745,052
261:0,3082848:1,002223:21,11067:20:189:165:2338745,069
262:0,293976:0,9383301:22,07914:20:189:165:2338745,102
263:0,2906322:0,9233989:22,30546:20:189:165:2338745,119
264:0,3071288:0,9008003:22,40219:13:191:165:2338745,136
265:0,3236254:0,8742778:22,49892:5:193:166:2338745,153
266:0,340122:0,8438312:22,59565:357:194:166:2338745,17
267:0,3566186:0,8094607:22,69238:350:196:166:2338745,191
268:0,01715417:1,084496:22,768:300:347:31:2338745,221
269:-0,05766441:1,126045:22,93147:300:347:31:2338745,237
270:-0,1614819:1,183698:23,1583:300:347:31:2338745,254
271:-0,2619795:1,239508:23,37788:300:347:31:2338745,271
272:-0,2789923:1,254809:23,41722:300:348:31:2338745,288
273:-0,2788433:1,258071:23,41701:301:353:26:2338745,321
274:-0,278715:1,257373:23,41683:303:357:22:2338745,338
275:-0,2782312:1,254901:23,41454:305:1:18:2338745,355
276:-0,2768835:1,25006:23,41096:307:5:14:2338745,373
277:-0,2746643:1,243185:23,40584:308:9:11:2338745,39
278:-0,2719014:1,233718:23,39975:310:12:7:2338745,407
279:-0,2687641:1,221523:23,39273:311:16:4:2338745,441
280:-0,2653279:1,206586:23,38477:313:19:360:2338745,458
281:-0,2616242:1,188999:23,37576:314:22:356:2338745,474
282:-0,2580168:1,16791:23,36642:316:26:353:2338745,491
283:-0,2539559:1,145154:23,3552:317:29:349:2338745,508
284:-0,2513828:1,11496:23,34685:319:31:346:2338745,542
285:-0,2451884:1,087917:23,32724:320:34:342:2338745,558
286:-0,2432195:1,050519:23,31834:322:36:339:2338745,575
287:-0,2382216:1,018446:23,29728:322:39:335:2338745,592
288:-0,2362527:0,9732:23,28837:324:40:333:2338745,609
289:-0,2362504:0,9346308:23,25483:324:43:329:2338745,642
290:-0,2359961:0,883442:23,24428:326:44:327:2338745,659
291:-0,2349632:0,8357084:23,21876:325:46:322:2338745,676
292:-0,2312887:0,8558159:23,21478:326:46:322:2338745,692
293:-0,2272016:0,8588921:23,21115:326:46:322:2338745,709
294:-0,223705:0,8621561:23,21115:326:46:321:2338745,743
295:-0,2198727:0,8633472:23,20956:326:46:321:2338745,76
296:-0,2161393:0,8637427:23,20811:326:46:320:2338745,776
297:-0,2125277:0,8639816:23,20686:326:45:320:2338745,793
298:-0,209025:0,864164:23,20581:326:45:320:2338745,81
299:-0,205619:0,8643124:23,20494:326:45:320:2338745,826
300:-0,2022931:0,8644318:23,20426:327:45:319:2338745,861
301:-0,19904:0,8645268:23,20376:327:45:319:2338745,878
302:-0,1958474:0,8645986:23,20345:327:45:319:2338745,894
303:-0,1927037:0,8646486:23,20331:327:44:319:2338745,911
304:-0,1895976:0,8646762:23,20336:327:44:319:2338745,928
305:-0,1865176:0,8646826:23,20358:327:44:318:2338745,961
306:-0,1834527:0,864668:23,20399:328:44:318:2338745,978
307:-0,1803918:0,8646314:23,20457:328:44:318:2338745,995
308:-0,1773236:0,8645746:23,20535:328:43:318:2338746,011
309:-0,1742371:0,8644941:23,20631:328:43:318:2338746,029
310:-0,1711213:0,8643901:23,20745:328:43:318:2338746,062
311:-0,1679646:0,864261:23,2088:328:43:318:2338746,079
312:-0,1647555:0,8641034:23,21034:329:42:317:2338746,096
313:-0,161483:0,8639167:23,21209:329:42:317:2338746,112
314:-0,1581351:0,8636979:23,21405:329:42:317:2338746,129
315:-0,1546997:0,8634439:23,21623:329:42:317:2338746,162
316:-0,1511645:0,8631502:23,21863:330:41:317:2338746,179
317:-0,147517:0,8628128:23,22127:330:41:317:2338746,196
318:-0,1437441:0,862427:23,22416:330:41:317:2338746,213
319:-0,1398326:0,8619865:23,2273:331:41:317:2338746,229
320:-0,1357686:0,8614852:23,23071:331:40:316:2338746,263
321:-0,1315376:0,8609136:23,23438:331:40:316:2338746,279
322:-0,1273097:0,8606333:23,23792:332:40:316:2338746,296
323:-0,1223365:0,8601406:23,23783:332:39:316:2338746,313
324:-0,1174188:0,8595852:23,23881:332:39:316:2338746,33
325:-0,1122624:0,8590314:23,24005:333:39:315:2338746,346
326:-0,1069081:0,8584317:23,24145:333:39:315:2338746,38
327:-0,1013299:0,8577688:23,24294:333:38:315:2338746,397
328:-0,09551622:0,8570269:23,24455:333:38:314:2338746,414
329:-0,08944569:0,8561834:23,24628:334:37:314:2338746,439
330:-0,2059153:0,8642747:23,20513:326:45:320:2338746,449
331:-0,08132151:0,8475388:23,1805:9:49:275:2338746,482
332:0,009842083:0,833944:23,17881:9:49:275:2338746,499
333:0,09811586:0,82078:23,17717:9:49:275:2338746,515
334:0,1992001:0,8057057:23,17529:9:49:275:2338746,532
335:0,3297286:0,7862405:23,17287:9:49:275:2338746,549
336:0,5145422:0,7586799:23,16944:9:49:275:2338746,583
337:0,789979:0,7176051:23,16432:9:49:275:2338746,6
338:1,176282:0,6599972:23,15714:9:49:275:2338746,617
339:1,513009:0,6097823:23,15089:9:49:275:2338746,634
340:1,592495:0,5964972:23,12633:12:47:269:2338746,651
341:1,642813:0,6271146:23,10458:13:46:266:2338746,668
342:1,689821:0,6587313:23,08257:14:46:263:2338746,702
343:1,7373:0,685579:23,0604:15:45:260:2338746,718
344:1,784405:0,7090876:23,03824:16:45:258:2338746,735
345:1,830494:0,7302742:23,01619:17:44:255:2338746,752
346:1,875219:0,7496805:22,99427:17:43:252:2338746,769
347:1,918368:0,767636:22,9725:18:42:249:2338746,803
348:1,959844:0,7842882:22,95091:19:41:247:2338746,82
349:1,999674:0,7996011:22,92952:19:40:243:2338746,839
350:2,038347:0,8131382:22,90821:20:39:240:2338746,853
351:2,076802:0,8238493:22,88678:21:38:237:2338746,87
352:2,115071:0,8317938:22,86521:21:36:234:2338746,887
353:2,15312:0,8372189:22,84346:21:35:231:2338746,92
354:2,190957:0,8402403:22,82149:21:34:227:2338746,937
355:2,228612:0,8409024:22,79929:22:33:224:2338746,954
356:2,266119:0,8392224:22,77681:22:31:221:2338746,971
357:2,303518:0,8351859:22,75405:22:30:218:2338746,988
358:2,340847:0,8287544:22,73098:21:29:215:2338747,022
359:2,378141:0,8198624:22,70761:21:28:212:2338747,039
360:2,415429:0,8084156:22,68393:21:26:208:2338747,056
361:2,452728:0,7943044:22,65998:20:25:205:2338747,073
362:2,490043:0,7773891:22,63577:20:24:202:2338747,09
363:2,527363:0,7575099:22,61137:19:23:198:2338747,107
364:2,564655:0,7344917:22,58685:18:21:195:2338747,141
365:2,601863:0,7081374:22,56231:18:20:191:2338747,157
366:2,638901:0,6782407:22,53786:17:19:188:2338747,174
367:2,675788:0,6446954:22,51355:15:18:184:2338747,191
368:2,712535:0,6075324:22,48935:14:17:181:2338747,207
369:2,728399:0,5967295:22,45836:12:16:179:2338747,241
370:2,736925:0,5925725:22,42432:9:16:177:2338747,258
371:2,745391:0,5846793:22,39008:6:15:176:2338747,275
372:2,753843:0,5728583:22,3559:3:15:174:2338747,292
373:2,761933:0,5577359:22,32163:360:15:173:2338747,309
374:2,759889:0,5686581:22,3068:359:15:173:2338747,343
375:2,75518:0,5803276:22,29564:358:14:173:2338747,36
376:2,750369:0,5884566:22,28492:357:14:173:2338747,38
377:1,654831:0,502634:23,22113:360:35:270:2338747,393
378:1,732155:0,5010619:23,24356:1:17:270:2338747,41
379:1,807191:0,5010207:23,29597:1:18:270:2338747,427
380:1,897281:0,5009801:23,3589:1:18:270:2338747,46
381:1,961883:0,5009859:23,37707:1:15:270:2338747,477
382:2,021862:0,5010698:23,39393:1:14:270:2338747,494
383:2,069763:0,5000508:23,40426:1:12:270:2338747,51
384:2,105709:0,5000339:23,41125:1:11:270:2338747,527
385:2,128626:0,5008166:23,41434:1:11:270:2338747,56
386:2,144522:0,5010054:23,41572:1:11:270:2338747,577
387:2,15551:0,5009058:23,41631:1:11:270:2338747,594
388:2,161619:0,5010089:23,41638:1:11:270:2338747,611
389:2,163394:0,5010991:23,41661:1:11:270:2338747,628
390:2,162819:0,5006568:23,41661:1:11:270:2338747,662
391:2,161906:0,5001355:23,41611:1:11:270:2338747,679
392:2,161535:0,5000278:23,41571:1:11:271:2338747,695
393:2,161522:0,5000113:23,41563:360:11:271:2338747,713
394:2,161573:0,5000064:23,41569:0:11:271:2338747,729
395:2,161594:0,5000022:23,41575:0:11:270:2338747,763
396:2,161591:0,5:23,41577:1:11:270:2338747,78
397:2,161586:0,4999997:23,41576:1:11:271:2338747,797
398:2,161586:0,5000001:23,41576:1:11:271:2338747,814
399:2,161587:0,5000004:23,41575:0:11:271:2338747,83
400:2,161587:0,5000004:23,41575:0:11:271:2338747,847
401:2,161587:0,5000004:23,41575:0:11:271:2338747,881
402:2,161587:0,5000004:23,41575:0:11:271:2338747,898
403:2,161587:0,5000004:23,41575:0:11:271:2338747,915
404:2,161587:0,5000004:23,41575:0:11:271:2338747,932
405:2,161587:0,5000004:23,41575:0:11:271:2338747,949
406:2,161587:0,5000004:23,41575:0:11:271:2338747,983
407:2,161587:0,5000004:23,41575:0:11:271:2338747,999
408:2,161587:0,5000004:23,41575:0:11:271:2338748,016
409:2,161587:0,5000004:23,41575:0:11:271:2338748,033
410:2,161587:0,5000004:23,41575:0:11:271:2338748,05
411:2,161587:0,5000004:23,41575:0:11:271:2338748,066
412:2,161587:0,5000004:23,41575:0:11:271:2338748,1
413:2,161587:0,5000004:23,41575:0:11:271:2338748,117
414:2,161587:0,5000004:23,41575:0:11:271:2338748,134
415:2,161587:0,5000004:23,41575:0:11:271:2338748,15
416:2,161587:0,5000004:23,41575:0:11:271:2338748,168
417:2,161587:0,5000004:23,41575:0:11:271:2338748,201
418:2,161587:0,5000004:23,41575:0:11:271:2338748,218
419:2,161587:0,5000004:23,41575:0:11:271:2338748,235
420:2,161587:0,5000004:23,41575:0:11:271:2338748,252
421:2,161587:0,5000004:23,41575:0:11:271:2338748,268
422:2,161587:0,5000004:23,41575:0:11:271:2338748,302
423:2,161587:0,5000004:23,41575:0:11:271:2338748,319
424:2,161587:0,5000004:23,41575:0:11:271:2338748,335
425:2,161587:0,5000004:23,41575:0:11:271:2338748,353
426:2,161587:0,5000004:23,41575:0:11:271:2338748,377
427:2,13744:0,5000001:23,41993:1:10:270:2338748,386
428:2,272187:0,500442:23,30512:1:3:270:2338748,42
429:2,473134:0,5004832:23,24827:1:3:270:2338748,436
430:2,640101:0,5002003:23,10236:1:3:270:2338748,453
431:2,746208:0,5001218:23,00833:360:3:270:2338748,47
432:2,87254:0,5001251:22,8959:360:3:270:2338748,487
433:2,995318:0,500098:22,7865:360:3:270:2338748,508
434:3,239139:0,5003245:22,56187:0:3:270:2338748,54
435:3,314496:0,500387:22,49392:1:3:270:2338748,556
436:3,446777:0,5005631:22,37434:1:3:270:2338748,573
437:3,575728:0,500571:22,2578:1:3:270:2338748,59
438:3,701133:0,5005673:22,14434:1:3:270:2338748,607
439:3,822955:0,500571:22,03395:1:3:270:2338748,641
440:3,941195:0,5005748:21,92662:1:3:270:2338748,657
441:4,055853:0,5005775:21,82235:1:3:270:2338748,674
442:4,166929:0,5005791:21,72113:1:3:270:2338748,691
443:4,274424:0,5005807:21,62298:1:3:270:2338748,708
